CD_SETOR,CEP
355030802000014,05446-020
355030802000014,05446-030
355030802000015,05460-001
355030802000015,05462-050
355030802000015,05463-010
355030802000015,05463-020
355030802000015,05463-030
355030802000015,05463-040
355030802000015,05463-070
355030802000016,05460-010
355030802000016,05460-020
355030802000016,05461-000
355030802000016,05461-070
355030802000016,05461-100
355030802000016,05464-000
355030802000016,05464-010
355030802000024,05454-010
355030802000024,05454-030
355030802000024,05454-040
355030802000024,05454-060
355030802000024,05454-080
355030802000024,05454-090
355030802000024,05454-110
355030802000028,05061-050
355030802000028,05451-040
355030802000028,05451-130
355030802000033,05443-000
355030802000033,05443-060
355030802000033,05443-080
355030802000038,05419-010
355030802000038,05420-003
355030802000038,05420-010
355030802000038,05444-001
355030802000038,05462-040
355030802000038,05463-000
355030802000039,05462-001
355030802000039,05462-010
355030802000039,05462-060
355030802000040,05452-030
355030802000040,05452-080
355030802000040,05463-050
355030802000040,05463-060
355030802000040,05463-080
355030802000040,05464-020
355030802000041,05464-040
355030802000041,05465-010
355030802000041,05465-020
355030802000041,05465-030
355030802000041,05465-040
355030802000041,05465-060
355030802000041,05465-070
355030802000041,05466-060
355030802000041,05466-070
355030802000042,05466-000
355030802000042,05466-010
355030802000045,05469-010
355030802000045,05469-040
355030802000045,05469-050
355030802000045,05471-030
355030802000046,05468-001
355030802000046,05468-080
355030802000046,05468-090
355030802000049,05468-040
355030802000053,05061-350
355030802000053,05455-010
355030802000053,05455-020
355030802000053,15455-050
355030802000062,05469-020
355030802000062,05469-030
355030802000062,05470-000
355030802000062,05470-010
355030802000062,05470-040
355030802000062,05470-050
355030802000062,05470-070
355030802000063,05458-002
355030802000067,05447-140
355030802000067,05448-100
355030802000067,05450-010
355030802000069,05445-050
355030802000070,05454-050
355030802000070,05467-000
355030802000070,05467-010
355030802000070,05467-030
355030802000070,05467-040
355030802000071,05061-500
355030802000071,05442-010
355030802000072,05441-090
355030802000072,05441-110
355030802000072,05442-050
355030802000072,05442-080
355030802000072,05442-090
355030802000072,05442-110
355030802000073,05465-000
355030802000073,05465-050
355030802000077,05469-000
355030802000078,05468-120
355030803000013,05268-010
355030803000013,05268-105
355030803000013,05269-050
355030803000013,05269-060
355030803000020,05265-050
355030803000020,15276-000
355030803000021,05265-040
355030803000022,15265-040
355030803000022,15265-050
355030803000022,15267-050
355030803000022,15267-070
355030803000023,05269-080
355030803000023,05269-090
355030803000023,15269-030
355030803000023,15269-080
355030803000023,15269-090
355030803000027,05275-051
355030803000027,05275-055
355030803000027,15275-051
355030803000028,05255-000
355030803000028,05280-030
355030803000028,05280-040
355030803000028,05280-050
355030803000028,05280-070
355030803000028,05280-080
355030803000028,05280-090
355030803000028,05280-100
355030803000029,05270-080
355030803000029,05270-150
355030803000029,15266-000
355030803000029,15272-000
355030803000031,05266-030
355030803000031,05266-040
355030803000031,05266-050
355030803000031,05266-060
355030803000051,15267-200
355030803000052,05267-110
355030803000053,05266-007
355030803000053,05266-190
355030803000053,05266-200
355030803000058,05275-050
355030803000058,05275-075
355030803000067,05281-170
355030803000078,05266-020
355030803000080,05272-010
355030803000080,15272-160
355030804000002,03474-030
355030804000003,03474-040
355030804000003,03475-005
355030804000003,03475-040
355030804000004,03475-020
355030804000004,03475-030
355030804000004,03475-150
355030804000008,03471-000
355030804000008,03471-010
355030804000008,03471-020
355030804000008,03471-030
355030804000008,03472-010
355030804000012,03478-005
355030804000015,03474-021
355030804000015,03475-010
355030804000016,03475-110
355030804000017,03475-050
355030804000018,03475-070
355030804000018,03475-080
355030804000018,03475-090
355030804000018,03475-100
355030804000020,03472-070
355030804000020,03472-080
355030804000020,03472-125
355030804000020,03472-127
355030804000023,03470-030
355030804000023,03470-050
355030804000024,03470-060
355030804000024,03470-100
355030804000024,03470-110
355030804000024,03470-120
355030804000024,03470-130
355030804000024,03470-140
355030804000024,03470-150
355030804000024,03470-160
355030804000031,03476-023
355030804000032,03474-070
355030804000032,03474-080
355030804000033,03475-120
355030804000033,03475-140
355030804000033,03475-160
355030804000034,03901-010
355030804000035,03904-000
355030804000035,03904-010
355030804000035,03904-070
355030804000035,03904-080
355030804000035,03904-120
355030804000035,03905-060
355030804000035,03905-080
355030804000036,03904-040
355030804000036,03904-060
355030804000038,03384-010
355030804000038,03384-020
355030804000038,03384-030
355030804000038,03901-030
355030804000040,03470-070
355030804000041,03461-000
355030804000041,03461-010
355030804000041,03461-020
355030804000041,03470-000
355030804000042,03460-030
355030804000042,03461-040
355030804000042,03461-090
355030804000042,03470-010
355030804000042,03470-020
355030804000043,03460-170
355030804000043,03460-175
355030804000043,03460-180
355030804000043,03460-190
355030804000043,03461-030
355030804000044,03361-001
355030804000044,03460-140
355030804000044,03460-150
355030804000044,03460-160
355030804000045,03471-080
355030804000045,03471-090
355030804000045,03471-100
355030804000045,03471-110
355030804000045,03471-120
355030804000046,03460-080
355030804000046,03460-090
355030804000046,03460-100
355030804000046,03460-110
355030804000046,03460-120
355030804000046,03460-130
355030804000047,03460-060
355030804000047,03460-070
355030804000047,03471-130
355030804000048,03434-050
355030804000048,03451-000
355030804000048,03452-000
355030804000048,03452-005
355030804000048,03471-135
355030804000050,03454-020
355030804000050,03454-030
355030804000050,03454-040
355030804000050,03454-050
355030804000050,03454-070
355030804000051,03453-100
355030804000051,03454-000
355030804000051,03454-010
355030804000051,03454-080
355030804000051,03455-010
355030804000052,03456-000
355030804000052,03456-010
355030804000052,03456-030
355030804000052,03456-040
355030804000052,03456-050
355030804000052,03456-060
355030804000053,03479-005
355030804000053,03479-010
